index,panoid,lat,lon,year,month,img_path,angle,value,img_name
39264,13k_KN62Ro4goksMDh2jtg,-1.279862039630731,36.95752682914385,2018.0,2.0,1/3/,90,0.6511762,13k_KN62Ro4goksMDh2jtg_90
24029,13yZVmj2B8ks5spdxV8ntA,-1.210694120591809,36.86528861240988,2021.0,9.0,1/3/,90,0.7514519,13yZVmj2B8ks5spdxV8ntA_90
40845,14ZOPQ8WY1FVNdytN-393g,-1.219446237992514,36.89939806215913,2018.0,2.0,1/4/,90,0.63181573,14ZOPQ8WY1FVNdytN-393g_90
40904,1516LCV-ahcVNTHohHzkLA,-1.217546495460102,36.89522122555352,2018.0,2.0,1/5/,90,0.61317533,1516LCV-ahcVNTHohHzkLA_90
43471,15liAegJJ71zcyH2hNQTgg,-1.160471389560309,36.94616155186613,2021.0,12.0,1/5/,90,0.6314545,15liAegJJ71zcyH2hNQTgg_90
10356,16HmHmIRVANiwxT67inIYg,-1.305773067570761,36.78777431381519,2021.0,7.0,1/6/,90,0.7931025,16HmHmIRVANiwxT67inIYg_90
52241,16bhkaiYk-E3BUE9V4WM9w,-1.258202357521407,36.85095150440743,2021.0,7.0,1/6/,90,0.72896034,16bhkaiYk-E3BUE9V4WM9w_90
52261,16bhkaiYk-E3BUE9V4WM9w,-1.258202357521407,36.85095150440743,2021.0,7.0,1/6/,90,0.72896034,16bhkaiYk-E3BUE9V4WM9w_90
70098,16tWL_KEACddn-38ov7ruw,-1.28157182516391,37.07944471049311,2018.0,2.0,1/6/,90,0.81444544,16tWL_KEACddn-38ov7ruw_90
43875,1797LMIKTUmARBgZBji4Jw,-1.369685852159025,36.65907517932233,2022.0,3.0,1/7/,90,0.65079397,1797LMIKTUmARBgZBji4Jw_90
2435,17DPCNAbn8hn1d-a4bwsWg,-1.25122165435511,36.80101127294611,2018.0,2.0,1/7/,90,0.7491245,17DPCNAbn8hn1d-a4bwsWg_90
27149,17Xh5ByytAudwiKmjnTKZw,-1.378018453967286,36.74324644281668,2017.0,12.0,1/7/,90,0.79230344,17Xh5ByytAudwiKmjnTKZw_90
33728,17wjEUFPxk7lHECXgY9s1w,-1.263813209789684,36.75007339628876,2018.0,2.0,1/7/,90,0.79243743,17wjEUFPxk7lHECXgY9s1w_90
77883,182kaS6oZEEb_9GCscgQIg,-1.225033306595014,36.9739788586396,2022.0,2.0,1/8/,90,0.7848332,182kaS6oZEEb_9GCscgQIg_90
17684,187D_gJ4N8aEWFhDT5e8Uw,-1.162926014845188,36.96728560534753,2022.0,5.0,1/8/,90,0.71009636,187D_gJ4N8aEWFhDT5e8Uw_90
55534,18iSmt0OUJQmnoq5KVdRig,-1.289472541025515,36.84380957734281,2018.0,1.0,1/8/,90,0.69974774,18iSmt0OUJQmnoq5KVdRig_90
54311,192-yKak13Dd31kehjN-xQ,-1.353844302229947,36.75565950762965,2021.0,9.0,1/9/,90,0.7756792,192-yKak13Dd31kehjN-xQ_90
55593,19CQ8kdJpp2RU4AL0SuYxw,-1.280867323064902,36.83209701380299,2021.0,8.0,1/9/,90,0.731777,19CQ8kdJpp2RU4AL0SuYxw_90
92605,19dj0i_PT6jrRnPhF3syMg,-1.240305939075984,36.92810948102262,2022.0,2.0,1/9/,90,0.64882845,19dj0i_PT6jrRnPhF3syMg_90
47627,1A-81cDLV3Zf6lX0EZkfrQ,-1.233033900739283,36.91930002745907,2021.0,9.0,1/a/,90,0.6087091,1A-81cDLV3Zf6lX0EZkfrQ_90
111751,1AHSwlX_rrTZZpo__ShYFA,-1.308169601126795,36.85336031986461,2018.0,1.0,1/a/,90,0.7605089,1AHSwlX_rrTZZpo__ShYFA_90
103879,1AHSwlX_rrTZZpo__ShYFA,-1.308169601126795,36.85336031986461,2018.0,1.0,1/a/,90,0.7605089,1AHSwlX_rrTZZpo__ShYFA_90
73667,1Ae3hgZH-XTR4o_tydYrLA,-1.275716637056379,36.96180628721831,2021.0,8.0,1/a/,90,0.8063715,1Ae3hgZH-XTR4o_tydYrLA_90
11718,1B67L_1BsLT6rHConh-cQQ,-1.305572846030241,36.69281081274136,2018.0,1.0,1/B/,90,0.6991963,1B67L_1BsLT6rHConh-cQQ_90
50559,1B9OYdFFzI0y4LTSIF9DKA,-1.275674379532954,36.79490572237697,2018.0,1.0,1/B/,90,0.80565995,1B9OYdFFzI0y4LTSIF9DKA_90
5580,1BRqYBIokXJi0fO3Xv_0Gg,-1.282808547007772,36.8493455836723,2021.0,8.0,1/B/,90,0.7257116,1BRqYBIokXJi0fO3Xv_0Gg_90
84785,1CL9zssHVMzyysxbXw7RwA,-1.267532793584203,36.9887012175475,2018.0,2.0,1/C/,90,0.8095339,1CL9zssHVMzyysxbXw7RwA_90
13577,1CZfMILkdhOiFG6AdfaiLQ,-1.287864899137621,36.86907451688071,2022.0,5.0,1/C/,90,0.63159436,1CZfMILkdhOiFG6AdfaiLQ_90
75347,1CbBfsThCHA_OZKz2WGpaQ,-1.259973964529363,36.94963882245646,2021.0,8.0,1/C/,90,0.67590064,1CbBfsThCHA_OZKz2WGpaQ_90
57654,1CbBfsThCHA_OZKz2WGpaQ,-1.259973964529363,36.94963882245646,2021.0,8.0,1/C/,90,0.67590064,1CbBfsThCHA_OZKz2WGpaQ_90
75342,1CbBfsThCHA_OZKz2WGpaQ,-1.259973964529363,36.94963882245646,2021.0,8.0,1/C/,90,0.67590064,1CbBfsThCHA_OZKz2WGpaQ_90
75326,1CbBfsThCHA_OZKz2WGpaQ,-1.259973964529363,36.94963882245646,2021.0,8.0,1/C/,90,0.67590064,1CbBfsThCHA_OZKz2WGpaQ_90
107147,1D_ywhfIAYfsbmoOHB4wyQ,-1.261950474041404,36.79742269510237,2021.0,7.0,1/d/,90,0.83023715,1D_ywhfIAYfsbmoOHB4wyQ_90
32959,1Dl65-UvqyN16DG31fTBvQ,-1.297658640653596,36.90929528306584,2018.0,2.0,1/d/,90,0.6763043,1Dl65-UvqyN16DG31fTBvQ_90
68862,1DpCE5_jXb0ETZQ-RN1rRA,-1.26770013281116,37.05697277937023,2018.0,2.0,1/d/,90,0.72227067,1DpCE5_jXb0ETZQ-RN1rRA_90
53738,1DuO0r-I7w4sHqd2WVmYAw,-1.227678629024312,36.85282506171804,2018.0,1.0,1/d/,90,0.67707,1DuO0r-I7w4sHqd2WVmYAw_90
16733,1ENvsdiEHEdYCsPt_FjJvQ,-1.253264803111579,36.86936609847705,2018.0,2.0,1/e/,90,0.6781008,1ENvsdiEHEdYCsPt_FjJvQ_90
92034,1ENvsdiEHEdYCsPt_FjJvQ,-1.253264803111579,36.86936609847705,2018.0,2.0,1/e/,90,0.6781008,1ENvsdiEHEdYCsPt_FjJvQ_90
16728,1ENvsdiEHEdYCsPt_FjJvQ,-1.253264803111579,36.86936609847705,2018.0,2.0,1/e/,90,0.6781008,1ENvsdiEHEdYCsPt_FjJvQ_90
43525,1ETrQobrdm7Z0WXXmEryRQ,-1.253751320784637,36.78304363023037,2021.0,7.0,1/e/,90,0.83792233,1ETrQobrdm7Z0WXXmEryRQ_90
10777,1Epo_26jTgsnMuyMr_uLEQ,-1.233710854184636,36.67064298531033,2018.0,5.0,1/e/,90,0.6377824,1Epo_26jTgsnMuyMr_uLEQ_90
33422,1FA4p6K3nSovmE71lpbNiw,-1.169327323833217,36.82846583990506,2018.0,5.0,1/f/,90,0.85875785,1FA4p6K3nSovmE71lpbNiw_90
1742,1FIdRcq1FpQpjshKBNK6og,-1.250278160072513,36.82170961174081,2018.0,2.0,1/f/,90,0.66092426,1FIdRcq1FpQpjshKBNK6og_90
13164,1FS9pZ9OZOKYzbEUKAPVWw,-1.280104974659126,36.81221104426328,2018.0,2.0,1/f/,90,0.7378719,1FS9pZ9OZOKYzbEUKAPVWw_90
25022,1FS9pZ9OZOKYzbEUKAPVWw,-1.280104974659126,36.81221104426328,2018.0,2.0,1/f/,90,0.7378719,1FS9pZ9OZOKYzbEUKAPVWw_90
125397,1FWwAlXnq1OV2RJz9wW6rg,-1.21607752636457,36.97055307886009,2021.0,9.0,1/f/,90,0.608192,1FWwAlXnq1OV2RJz9wW6rg_90
121750,1G-lkun5Ns81pdXpOq9WSg,-1.258779381819468,36.87421634612594,2018.0,2.0,1/g/,90,0.65232575,1G-lkun5Ns81pdXpOq9WSg_90
44946,1GC9Xt-9IwRvVD1VFnhN2w,-1.164397631368558,36.97740595317651,2022.0,2.0,1/g/,90,0.6706949,1GC9Xt-9IwRvVD1VFnhN2w_90
110924,1GG9WmbmMaYIwcNKjJWm3Q,-1.22478760445288,36.91557126599039,2018.0,2.0,1/g/,90,0.7292775,1GG9WmbmMaYIwcNKjJWm3Q_90
68567,1Goh9x6dnbXneo_Rd5MA6g,-1.295710049861678,36.98168342741678,2021.0,8.0,1/g/,90,0.7916687,1Goh9x6dnbXneo_Rd5MA6g_90
101503,1H1biGFaxD-FmOGTNQZ9ww,-1.349156636656429,36.79852418332594,2018.0,10.0,1/H/,90,0.7463566,1H1biGFaxD-FmOGTNQZ9ww_90
44926,1HWydrINSKyZs-hFF61C-Q,-1.169131075005851,36.97106124647872,2022.0,2.0,1/H/,90,0.65777653,1HWydrINSKyZs-hFF61C-Q_90
120570,1IOohD9ys28ItaRapIZ_HA,-1.261894937500659,36.8034812051204,2018.0,5.0,1/i/,90,0.6943245,1IOohD9ys28ItaRapIZ_HA_90
91932,1IXTyP4x-b1gYbk-9FHYLg,-1.27079765817315,36.83099858838828,2018.0,2.0,1/i/,90,0.7542502,1IXTyP4x-b1gYbk-9FHYLg_90
90570,1Id1OkQn1LBL64m5HPUI3A,-1.260970288180716,36.85171421827775,2018.0,2.0,1/i/,90,0.73343635,1Id1OkQn1LBL64m5HPUI3A_90
88348,1IhmhEakKcgdcjPHpkYQTQ,-1.271883697737413,36.88150740987236,2022.0,4.0,1/i/,90,0.73253787,1IhmhEakKcgdcjPHpkYQTQ_90
54388,1IoUqH68dz1l0bz3vpwtQA,-1.327562121177809,36.76269001663385,2018.0,1.0,1/i/,90,0.7431505,1IoUqH68dz1l0bz3vpwtQA_90
93339,1IoUqH68dz1l0bz3vpwtQA,-1.327562121177809,36.76269001663385,2018.0,1.0,1/i/,90,0.7431505,1IoUqH68dz1l0bz3vpwtQA_90
