min_cluster_size,min_samples,n_clusters,n_noise,prop_clustered_informal
15,3,73,499,0.20898794300328827
15,6,58,661,0.20854368932038836
15,10,43,756,0.2068548387096774
25,3,40,653,0.2086720867208672
25,6,32,762,0.21665319320937754
25,10,24,983,0.2041722148246782
50,3,22,759,0.1949939442874445
50,6,20,983,0.1966267199289836
50,10,18,929,0.20502817511920243
