panoid,lat,lon,year,month,img_path,angle,type,img_name
IMG_7790,-1.3140888888888889,36.87233055555556,2023,2,Used/,,Self,IMG_7790
IMG_0799,-1.3660222222222222,36.76688333333333,2023,2,Used/,,Self,IMG_0799
IMG_6303,-1.2518972222222222,36.82538611111112,2023,2,Used/,,Self,IMG_6303
IMG_0772,-1.3467583333333333,36.765344444444445,2023,2,Used/,,Self,IMG_0772
IMG_8448,-1.2797305555555556,37.04933611111111,2023,2,Used/,,Self,IMG_8448
IMG_6465,-1.3069388888888889,36.78382222222222,2023,2,Used/,,Self,IMG_6465
IMG_6471,-1.3064944444444444,36.78350833333333,2023,2,Used/,,Self,IMG_6471
IMG_6317,-1.2280444444444445,36.80515277777778,2023,2,Used/,,Self,IMG_6317
IMG_0766,-1.3427749999999998,36.76687222222222,2023,2,Used/,,Self,IMG_0766
IMG_7009,-1.3421194444444444,36.767719444444445,2023,2,Used/,,Self,IMG_7009
IMG_7021,-1.3370583333333332,36.77475277777778,2023,2,Used/,,Self,IMG_7021
IMG_8312,-1.2645194444444443,36.98424166666667,2023,2,Used/,,Self,IMG_8312
IMG_7747,-1.3150722222222222,36.87216111111111,2023,2,Used/,,Self,IMG_7747
IMG_8474,-1.279736111111111,37.048788888888886,2023,2,Used/,,Self,IMG_8474
IMG_6459,-1.309036111111111,36.78270555555555,2023,2,Used/,,Self,IMG_6459
IMG_8460,-1.281863888888889,37.06008611111111,2023,2,Used/,,Self,IMG_8460
IMG_7035,-1.3156861111111111,36.78896666666667,2023,2,Used/,,Self,IMG_7035
IMG_8306,-1.2641694444444445,36.98248333333333,2023,2,Used/,,Self,IMG_8306
IMG_8689,-1.2690027777777777,36.66056111111111,2023,2,Used/,,Self,IMG_8689
IMG_8138,-1.3296805555555555,36.87144722222222,2023,2,Used/,,Self,IMG_8138
IMG_8676,-1.2896027777777777,36.68384444444444,2023,2,Used/,,Self,IMG_8676
IMG_8110,-1.321161111111111,36.84127777777778,2023,2,Used/,,Self,IMG_8110
IMG_7223,-1.279288888888889,36.80681666666666,2023,2,Used/,,Self,IMG_7223
IMG_8104,-1.3173638888888888,36.83488888888889,2023,2,Used/,,Self,IMG_8104
IMG_7237,-1.278725,36.80363611111111,2023,2,Used/,,Self,IMG_7237
IMG_8662,-1.3094222222222225,36.72746388888889,2023,2,Used/,,Self,IMG_8662
IMG_7394,-1.2982333333333331,36.80170833333333,2023,2,Used/,,Self,IMG_7394
IMG_7380,-1.297711111111111,36.80299444444445,2023,2,Used/,,Self,IMG_7380
IMG_8058,-1.2973277777777776,36.80565555555555,2023,2,Used/,,Self,IMG_8058
IMG_8702,-1.2401777777777778,36.66569444444444,2023,2,Used/,,Self,IMG_8702
IMG_8064,-1.2960083333333332,36.808727777777776,2023,2,Used/,,Self,IMG_8064
IMG_7357,-1.294311111111111,36.80016388888889,2023,2,Used/,,Self,IMG_7357
IMG_8070,-1.2950722222222222,36.81259166666666,2023,2,Used/,,Self,IMG_8070
IMG_7343,-1.2896416666666666,36.7981,2023,2,Used/,,Self,IMG_7343
IMG_8716,-1.2214250000000002,36.66322777777778,2023,2,Used/,,Self,IMG_8716
IMG_8299,-1.2657027777777778,36.98136111111111,2023,2,Used/,,Self,IMG_8299
IMG_7814,-1.3126277777777775,36.87094444444445,2023,2,Used/,,Self,IMG_7814
IMG_7800,-1.312913888888889,36.87211666666667,2023,2,Used/,,Self,IMG_7800
IMG_0809,-1.3735444444444445,36.769213888888885,2023,2,Used/,,Self,IMG_0809
IMG_6288,-1.259961111111111,36.836666666666666,2023,2,Used/,,Self,IMG_6288
IMG_7196,-1.2869555555555554,36.80060555555556,2023,2,Used/,,Self,IMG_7196
IMG_7828,-1.3121055555555556,36.87036111111111,2023,2,Used/,,Self,IMG_7828
IMG_7182,-1.288333333333333,36.79842222222222,2023,2,Used/,,Self,IMG_7182
IMG_7169,-1.2897055555555554,36.79776388888889,2023,2,Used/,,Self,IMG_7169
IMG_6277,-1.2632555555555556,36.83839444444445,2023,2,Used/,,Self,IMG_6277
IMG_6511,-1.304936111111111,36.7878,2023,2,Used/,,Self,IMG_6511
IMG_6505,-1.3055361111111112,36.787619444444445,2023,2,Used/,,Self,IMG_6505
IMG_8528,-1.2693055555555557,36.99356111111111,2023,2,Used/,,Self,IMG_8528
IMG_6263,-1.2710055555555555,36.82926111111112,2023,2,Used/,,Self,IMG_6263
IMG_7155,-1.289655555555555,36.79624166666667,2023,2,Used/,,Self,IMG_7155
IMG_8266,-1.2802361111111111,36.964775,2023,2,Used/,,Self,IMG_8266
IMG_7633,-1.3119583333333331,36.85140555555556,2023,2,Used/,,Self,IMG_7633
IMG_8500,-1.2772416666666666,37.02365555555556,2023,2,Used/,,Self,IMG_8500
IMG_6539,-1.2980944444444442,36.788075,2023,2,Used/,,Self,IMG_6539
IMG_7627,-1.3003472222222223,36.83722777777778,2023,2,Used/,,Self,IMG_7627
IMG_8514,-1.275283333333333,37.003875,2023,2,Used/,,Self,IMG_8514
IMG_7141,-1.2960027777777776,36.79541111111111,2023,2,Used/,,Self,IMG_7141
IMG_8272,-1.2789638888888888,36.96742777777778,2023,2,Used/,,Self,IMG_8272
IMG_8515,-1.2740361111111111,37.00127777777778,2023,2,Used/,,Self,IMG_8515
IMG_7626,-1.299811111111111,36.83710833333333,2023,2,Used/,,Self,IMG_7626
IMG_6538,-1.2982777777777776,36.788066666666666,2023,2,Used/,,Self,IMG_6538
IMG_8273,-1.278761111111111,36.96776111111112,2023,2,Used/,,Self,IMG_8273
IMG_7140,-1.296086111111111,36.79543333333333,2023,2,Used/,,Self,IMG_7140
IMG_8267,-1.2799222222222222,36.96553611111111,2023,2,Used/,,Self,IMG_8267
IMG_7154,-1.2897888888888889,36.796188888888885,2023,2,Used/,,Self,IMG_7154
IMG_8501,-1.2769388888888888,37.02003055555556,2023,2,Used/,,Self,IMG_8501
IMG_7632,-1.3119166666666666,36.85130277777778,2023,2,Used/,,Self,IMG_7632
IMG_8529,-1.269172222222222,36.99336944444445,2023,2,Used/,,Self,IMG_8529
IMG_6504,-1.305725,36.78754444444444,2023,2,Used/,,Self,IMG_6504
IMG_6262,-1.2712222222222225,36.828919444444445,2023,2,Used/,,Self,IMG_6262
IMG_6276,-1.2635722222222223,36.837872222222224,2023,2,Used/,,Self,IMG_6276
IMG_7168,-1.289672222222222,36.79765277777778,2023,2,Used/,,Self,IMG_7168
IMG_6510,-1.3050388888888889,36.78776388888889,2023,2,Used/,,Self,IMG_6510
IMG_7183,-1.2876138888888888,36.79861388888889,2023,2,Used/,,Self,IMG_7183
IMG_7197,-1.28755,36.80258055555555,2023,2,Used/,,Self,IMG_7197
IMG_6289,-1.2597138888888888,36.836288888888895,2023,2,Used/,,Self,IMG_6289
IMG_7829,-1.3121222222222222,36.87036111111111,2023,2,Used/,,Self,IMG_7829
IMG_7801,-1.31275,36.87213611111111,2023,2,Used/,,Self,IMG_7801
IMG_0808,-1.3727222222222222,36.76889722222222,2023,2,Used/,,Self,IMG_0808
IMG_8298,-1.2662166666666668,36.98101388888889,2023,2,Used/,,Self,IMG_8298
