sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Dagoretti South,Ng'ando,-1.3001478,36.7576411,3.903,garbage point,illegal dumping,,public land,,yes,Dumping on major roads is rampant,Dagoretti South,Ng'ando,3.903,garbage point,illegal dumping,,public land,Dumping on major roads is rampant,Dumping on major roads is rampant
Dagoretti South,Ng'ando,-1.3072454,36.7334073,4.952,garbage point,illegal dumping,,private,,yes,Fencing required,Dagoretti South,Ng'ando,4.952,garbage point,illegal dumping,,private,,Fencing required
Dagoretti South,Ng'ando,-1.3034084,36.7323163,3.866,garbage point,illegal dumping,,public land,,yes,,Dagoretti South,Ng'ando,3.866,garbage point,illegal dumping,,public land,,
Dagoretti South,Ng'ando,-1.3027407,36.7376729,4.99,garbage point,holding ground,,private,,yes,Not fenced,Dagoretti South,Ng'ando,4.99,garbage point,holding ground,,private,,Not fenced
Dagoretti South,Ng'ando,-1.305698,36.7376182,4.968,garbage point,illegal dumping,,community,,yes,,Dagoretti South,Ng'ando,4.968,garbage point,illegal dumping,,community,,
Starehe,Nairobi South,-1.312214,36.8422093,2.437,garbage point,collection point,,public land,,yes,,Starehe,Nairobi South,2.437,garbage point,collection point,,public land,,
Starehe,Nairobi South,-1.3183942,36.8386844,4.38,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,4.38,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3168668,36.838659,2.957,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,2.957,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3154267,36.8383341,2.175,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,2.175,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.31377,36.8382383,4.0,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,4.0,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3138837,36.8383967,4.7,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,4.7,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3115755,36.8376757,4.482,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,4.482,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2982797,36.8934602,4.012,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.012,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2901315,36.9019066,4.916,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.916,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.291486,36.9010211,4.103,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.103,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2929245,36.9009467,4.719,garbage point,illegal dumping,,public land,,yes,To be collected,Embakasi East,Upper Savanna,4.719,garbage point,illegal dumping,,public land,,To be collected
Embakasi East,Upper Savanna,-1.2927747,36.9014992,4.776,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.776,garbage point,illegal dumping,,public land,,
