sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Roysambu,Roysambu,-1.2227176,36.8842618,4.3,garbage point,illegal dumping,,public land,,yes,,Roysambu,Roysambu,4.3,garbage point,illegal dumping,,public land,,
Roysambu,Roysambu,-1.2224706,36.8823952,1.303,garbage point,illegal dumping,,private,,yes,,Roysambu,Roysambu,1.303,garbage point,illegal dumping,,private,,
Roysambu,Githurai,-1.2236684,36.8825173,4.7,garbage point,collection point,,private,,yes,,Roysambu,Githurai,4.7,garbage point,collection point,,private,,
Roysambu,Roysambu,-1.2225661,36.8818254,4.396,garbage point,collection point,,private,,yes,na,Roysambu,Roysambu,4.396,garbage point,collection point,,private,,na
Roysambu,Roysambu,-1.2224366,36.8818641,4.741,garbage point,collection point,,public land,,yes,,Roysambu,Roysambu,4.741,garbage point,collection point,,public land,,
Roysambu,Roysambu,-1.2226726,36.8824386,2.998,garbage point,illegal dumping,,public land,,no,clear and rehabilitate open spaces,Roysambu,Roysambu,2.998,garbage point,illegal dumping,,public land,,clear and rehabilitate open spaces
Roysambu,Kahawa,-1.2230407,36.884206,4.833,garbage point,holding ground,,private,,yes,to clear the site,Roysambu,Kahawa,4.833,garbage point,holding ground,,private,,to clear the site
Roysambu,Roysambu,-1.2224905,36.8825336,4.828,garbage point,illegal dumping,,public land,,no,clear and rehabilitate,Roysambu,Roysambu,4.828,garbage point,illegal dumping,,public land,,clear and rehabilitate
Ruaraka,Babadogo,-1.2230268,36.8841709,4.814,garbage point,illegal dumping,,community,,no,stop with immediate effect,Ruaraka,Babadogo,4.814,garbage point,illegal dumping,,community,,stop with immediate effect
Lang'ata,Karen,-1.2237211,36.8825023,3.663,garbage point,bin,,private,,yes,"na
",Lang'ata,Karen,3.663,garbage point,bin,,private,,"na
"
Roysambu,Roysambu,-1.2225691,36.8823639,4.9,garbage point,illegal dumping,,public land,,yes,should be collected regularly to reduce heaping.,Roysambu,Roysambu,4.9,garbage point,illegal dumping,,public land,should be collected regularly to reduce heaping.,should be collected regularly to reduce heaping.
Lang'ata,Otiende,-1.2236955,36.8825261,3.98,garbage point,illegal dumping,,public land,,yes,estimated 200 loads,Lang'ata,Otiende,3.98,garbage point,illegal dumping,,public land,,estimated 200 loads
Ruaraka,Mathare North,-1.2227363,36.8826213,4.6,garbage point,bin,,private,,yes,bin,Ruaraka,Mathare North,4.6,garbage point,bin,,private,,bin
Roysambu,Garden Estate,-1.2218511,36.8819643,3.79,garbage point,bin,,private,,yes,good,Roysambu,Garden Estate,3.79,garbage point,bin,,private,,good
Kibra,Makina,-1.2231167,36.88311,4.4,garbage point,collection point,,private,,yes,bin,Kibra,Makina,4.4,garbage point,collection point,,private,,bin
Lang'ata,South C,-1.2230835,36.8840197,4.016,garbage point,collection point,,private,,yes,bin,Lang'ata,South C,4.016,garbage point,collection point,,private,,bin
Roysambu,Roysambu,-1.2229217,36.8823167,4.5,garbage point,bin,,private,,yes,well maintained,Roysambu,Roysambu,4.5,garbage point,bin,,private,,well maintained
Roysambu,Roysambu,-1.2226089,36.8823018,4.842,garbage point,illegal dumping,,public land,,no,negative effects to the environment,Roysambu,Roysambu,4.842,garbage point,illegal dumping,,public land,,negative effects to the environment
Roysambu,Roysambu,-1.2226518,36.8840335,4.983,garbage point,collection point,,public land,,no,should be cleaned more often,Roysambu,Roysambu,4.983,garbage point,collection point,,public land,,should be cleaned more often
Roysambu,Roysambu,-1.222843,36.8823465,4.571,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.571,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2228443,36.8823428,4.865,garbage point,holding ground,,community,,yes,the holding point should be cleared after every2 months to avoid spillages,Roysambu,Roysambu,4.865,garbage point,holding ground,,community,,the holding point should be cleared after every2 months to avoid spillages
Roysambu,Roysambu,-1.2227325,36.8823106,4.672,garbage point,bin,,community,,yes,"it is emptied on a weekly basis 
",Roysambu,Roysambu,4.672,garbage point,bin,,community,"Emptied on a weekly basis 
","it is emptied on a weekly basis 
"
Ruaraka,Korogocho,-1.2220045,36.8820885,4.54,garbage point,holding ground,,private,,yes,,Ruaraka,Korogocho,4.54,garbage point,holding ground,,private,,
Ruaraka,Korogocho,-1.2224923,36.8822317,4.08,garbage point,other,,private,,yes,,Ruaraka,Korogocho,4.08,garbage point,other,,private,,
Roysambu,Roysambu,-1.222946,36.8823525,3.35,garbage point,bin,,private,,yes,,Roysambu,Roysambu,3.35,garbage point,bin,,private,,
Ruaraka,Korogocho,-1.2227138,36.882639,4.58,garbage point,bin,,private,,yes,,Ruaraka,Korogocho,4.58,garbage point,bin,,private,,
Roysambu,Roysambu,-1.22315,36.8831891,4.52,garbage point,holding ground,,private,,yes,,Roysambu,Roysambu,4.52,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2250123,36.8834075,4.866,garbage point,holding ground,,private,,yes,,Roysambu,Roysambu,4.866,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2248837,36.8825889,4.833,garbage point,bin,,private,,yes,collection is well done,Roysambu,Roysambu,4.833,garbage point,bin,,private,,collection is well done
Roysambu,Roysambu,-1.2230395,36.8823278,4.585,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.585,garbage point,bin,,private,,
Ruaraka,Babadogo,-1.2220381,36.882141,4.502,garbage point,holding ground,,private,,yes,,Ruaraka,Babadogo,4.502,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2231541,36.88303,4.633,garbage point,holding ground,,private,,no,,Roysambu,Roysambu,4.633,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2230223,36.8834122,4.475,garbage point,holding ground,,private,,no,,Roysambu,Roysambu,4.475,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2248754,36.8827031,4.45,garbage point,bin,,private,,yes,well maintained,Roysambu,Roysambu,4.45,garbage point,bin,,private,,well maintained
Roysambu,Roysambu,-1.2228417,36.8824023,4.9,garbage point,bin,,private,,yes,well maintained.,Roysambu,Roysambu,4.9,garbage point,bin,,private,,well maintained.
Ruaraka,Babadogo,-1.2224272,36.8822,4.288,garbage point,other,Dump site,private,,yes,,Ruaraka,Babadogo,4.288,garbage point,other,Dump site,private,,
Ruaraka,Babadogo,-1.2228701,36.8823655,4.521,garbage point,bin,,private,,yes,no,Ruaraka,Babadogo,4.521,garbage point,bin,,private,,no
Roysambu,Garden Estate,-1.2248936,36.8826693,4.8,garbage point,bin,,private,,yes,neat,Roysambu,Garden Estate,4.8,garbage point,bin,,private,,neat
Ruaraka,Babadogo,-1.2224323,36.8819536,4.825,garbage point,bin,,private,,yes,no,Ruaraka,Babadogo,4.825,garbage point,bin,,private,,no
Ruaraka,Babadogo,-1.2226389,36.8825725,4.502,garbage point,bin,,private,,yes,none,Ruaraka,Babadogo,4.502,garbage point,bin,,private,,none
Ruaraka,Babadogo,-1.2213522,36.8819017,4.727,garbage point,bin,,private,,yes,no,Ruaraka,Babadogo,4.727,garbage point,bin,,private,,no
Roysambu,Roysambu,-1.2224117,36.8819907,5.0,garbage point,collection point,,private,,yes,none,Roysambu,Roysambu,5.0,garbage point,collection point,,private,,none
Roysambu,Zimmermann,-1.2009908,36.8836081,4.04,garbage point,illegal dumping,,private,,yes,"there are plans to clear the waste and enforce on any further illegal dumping.
owner to be found and advised on fencing the land.",Roysambu,Zimmermann,4.04,garbage point,illegal dumping,,private,,"there are plans to clear the waste and enforce on any further illegal dumping.
owner to be found and advised on fencing the land."
Roysambu,Zimmermann,-1.2010472,36.8890747,2.55,garbage point,illegal dumping,,public land,,yes,"the waste to be cleared and close the point completely.
community to be engaged on sustainable swm practises.
arrest of culprits dumping illegaly.
regular cleanups and sensitization to be done in the area.",Roysambu,Zimmermann,2.55,garbage point,illegal dumping,,public land,,"the waste to be cleared and close the point completely.
community to be engaged on sustainable swm practises.
arrest of culprits dumping illegaly.
regular cleanups and sensitization to be done in the area."
Kibra,Lindi,-1.3110604,36.7881487,4.339,garbage point,holding ground,,public land,,yes,not maintained,Kibra,Lindi,4.339,garbage point,holding ground,,public land,,not maintained
Kibra,Lindi,-1.3132796,36.7898226,4.645,garbage point,illegal dumping,,public land,,no,very bad condition,Kibra,Lindi,4.645,garbage point,illegal dumping,,public land,,very bad condition
Ruaraka,Utalii,-1.2579407,36.8632002,4.043,garbage point,illegal dumping,,community,,yes,,Ruaraka,Utalii,4.043,garbage point,illegal dumping,,community,,
Roysambu,Githurai,-1.2036125,36.9106787,2.0,garbage point,holding ground,,public land,,yes,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination,Roysambu,Githurai,2.0,garbage point,holding ground,,public land,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination
Ruaraka,Utalii,-1.2598909,36.8617032,4.453,garbage point,illegal dumping,,public land,,yes,the community members were requesting if they can be given these as a collection point,Ruaraka,Utalii,4.453,garbage point,illegal dumping,,public land,,the community members were requesting if they can be given these as a collection point
Ruaraka,Utalii,-1.2589289,36.8619727,4.794,garbage point,illegal dumping,,public land,,yes,,Ruaraka,Utalii,4.794,garbage point,illegal dumping,,public land,,
Roysambu,Githurai,-1.2032345,36.9108607,2.0,garbage point,illegal dumping,,public land,,no,source of the waste is from the surrounding viosks.,Roysambu,Githurai,2.0,garbage point,illegal dumping,,public land,,source of the waste is from the surrounding viosks.
Roysambu,Githurai,-1.2027672,36.9089553,2.5,garbage point,illegal dumping,,private,,no,,Roysambu,Githurai,2.5,garbage point,illegal dumping,,private,,
Roysambu,Githurai,-1.2028536,36.9089068,3.0,garbage point,illegal dumping,,private,,no,the source of waste comes from mama mboga and surrounding viosks,Roysambu,Githurai,3.0,garbage point,illegal dumping,,private,,the source of waste comes from mama mboga and surrounding viosks
Ruaraka,Utalii,-1.2563627,36.8644917,3.844,garbage point,collection point,,public land,,yes,,Ruaraka,Utalii,3.844,garbage point,collection point,,public land,,
Roysambu,Githurai,-1.2024336,36.9106351,2.5,garbage point,holding ground,,public land,,yes,"used as green army holding point.
it's easily accessible by the loading trucks",Roysambu,Githurai,2.5,garbage point,holding ground,,public land,,"used as green army holding point.
it's easily accessible by the loading trucks"
Roysambu,Githurai,-1.2016774,36.9122082,2.0,garbage point,bin,,community,,yes,used by the school and the green army as a collection point,Roysambu,Githurai,2.0,garbage point,bin,,community,,used by the school and the green army as a collection point
Ruaraka,Utalii,-1.2514447,36.8697621,4.114,garbage point,collection point,,public land,,yes,,Ruaraka,Utalii,4.114,garbage point,collection point,,public land,,
Ruaraka,Korogocho,-1.2602614,36.8840281,2.36,garbage point,holding ground,,community,,yes,timely garbage collection needed,Ruaraka,Korogocho,2.36,garbage point,holding ground,,community,,timely garbage collection needed
Ruaraka,Korogocho,-1.251933,36.8871655,4.7,garbage point,illegal dumping,,public land,,yes,,Ruaraka,Korogocho,4.7,garbage point,illegal dumping,,public land,,
Ruaraka,Korogocho,-1.2446643,36.8956776,4.975,garbage point,holding ground,,community,,yes,,Ruaraka,Korogocho,4.975,garbage point,holding ground,,community,,
Ruaraka,Korogocho,-1.247923,36.8927516,4.625,garbage point,illegal dumping,,public land,,yes,,Ruaraka,Korogocho,4.625,garbage point,illegal dumping,,public land,,
Ruaraka,Babadogo,-1.2487177,36.8855987,3.43,garbage point,illegal dumping,,public land,,yes,not good,Ruaraka,Babadogo,3.43,garbage point,illegal dumping,,public land,,not good
Ruaraka,Korogocho,-1.2488711,36.8839217,4.9,garbage point,collection point,,public land,,yes,in good condition,Ruaraka,Korogocho,4.9,garbage point,collection point,,public land,,in good condition
Ruaraka,Babadogo,-1.2414209,36.8828418,3.859,garbage point,illegal dumping,,public land,,yes,laundry next to tread setters,Ruaraka,Babadogo,3.859,garbage point,illegal dumping,,public land,,laundry next to tread setters
Ruaraka,Babadogo,-1.2411533,36.8783948,4.931,garbage point,collection point,,public land,,yes,good,Ruaraka,Babadogo,4.931,garbage point,collection point,,public land,,good
Ruaraka,Babadogo,-1.2450083,36.8681046,4.466,garbage point,illegal dumping,,public land,,yes,bad shape,Ruaraka,Babadogo,4.466,garbage point,illegal dumping,,public land,,bad shape
Ruaraka,Babadogo,-1.245662,36.8886906,3.43,garbage point,illegal dumping,,private,,yes,glucola,Ruaraka,Babadogo,3.43,garbage point,illegal dumping,,private,,glucola
Ruaraka,Mathare North,-1.2516418,36.8748313,3.859,garbage point,collection point,,public land,,yes,area 1,Ruaraka,Mathare North,3.859,garbage point,collection point,,public land,,area 1
Ruaraka,Korogocho,-1.2440134,36.8961081,4.5,garbage point,other,Untreated discharge into the river,public land,,yes,,Ruaraka,Korogocho,4.5,garbage point,other,Untreated discharge into the river,public land,,
Ruaraka,Korogocho,-1.2445547,36.8959386,3.883,garbage point,illegal dumping,,public land,,yes,,Ruaraka,Korogocho,3.883,garbage point,illegal dumping,,public land,,
Ruaraka,Babadogo,-1.245047,36.8680817,4.363,garbage point,illegal dumping,,other,under a foot bridge,yes,no,Ruaraka,Babadogo,4.363,garbage point,illegal dumping,,other,,no
Ruaraka,Babadogo,-1.2457254,36.8681935,4.972,garbage point,illegal dumping,,other,road reserve,yes,no,Ruaraka,Babadogo,4.972,garbage point,illegal dumping,,other,,no
Ruaraka,Mathare North,-1.2536089,36.8702433,4.709,garbage point,collection point,,public land,,yes,no,Ruaraka,Mathare North,4.709,garbage point,collection point,,public land,,no
Ruaraka,Mathare North,-1.2545723,36.8688114,4.704,garbage point,collection point,,public land,,yes,no,Ruaraka,Mathare North,4.704,garbage point,collection point,,public land,,no
Ruaraka,Mathare North,-1.2565195,36.8653699,4.36,garbage point,illegal dumping,,other,riparian reserve,yes,no,Ruaraka,Mathare North,4.36,garbage point,illegal dumping,,other,,no
Roysambu,Zimmermann,-1.2105532,36.8983116,4.984,garbage point,collection point,,public land,,yes,it is spacious and easily accessible by collection trucks,Roysambu,Zimmermann,4.984,garbage point,collection point,,public land,,it is spacious and easily accessible by collection trucks
Roysambu,Zimmermann,-1.2092494,36.8938204,2.5,garbage point,holding ground,,public land,,yes,easily accessible,Roysambu,Zimmermann,2.5,garbage point,holding ground,,public land,,easily accessible
Roysambu,Zimmermann,-1.2115071,36.8952321,2.0,garbage point,illegal dumping,,public land,,no,,Roysambu,Zimmermann,2.0,garbage point,illegal dumping,,public land,,
Roysambu,Zimmermann,-1.2114173,36.8948977,2.5,garbage point,illegal dumping,,public land,,no,alot of garbage burning happens here,Roysambu,Zimmermann,2.5,garbage point,illegal dumping,,public land,,alot of garbage burning happens here
Roysambu,Zimmermann,-1.2125158,36.8936036,3.0,garbage point,collection point,,public land,,yes,,Roysambu,Zimmermann,3.0,garbage point,collection point,,public land,,
Roysambu,Zimmermann,-1.2051671,36.8952688,2.0,garbage point,illegal dumping,,public land,,no,,Roysambu,Zimmermann,2.0,garbage point,illegal dumping,,public land,,
Roysambu,Zimmermann,-1.201045,36.8888492,2.0,garbage point,illegal dumping,,public land,,no,"this is the most dumped area in zimmerman, garbage is from surrounding community. enforcement needed",Roysambu,Zimmermann,2.0,garbage point,illegal dumping,,public land,,"this is the most dumped area in zimmerman, garbage is from surrounding community. enforcement needed"
Roysambu,Zimmermann,-1.2021018,36.8839308,2.0,garbage point,illegal dumping,,public land,,no,it's by the river hence contaminating the water,Roysambu,Zimmermann,2.0,garbage point,illegal dumping,,public land,,it's by the river hence contaminating the water
Roysambu,Kahawa West,-1.1795689,36.9109738,4.833,garbage point,collection point,,public land,,yes,needs immediate collection,Roysambu,Kahawa West,4.833,garbage point,collection point,,public land,,needs immediate collection
Kibra,Makina,-1.3057454,36.7856936,2.15,garbage point,holding ground,,public land,,yes,needs fencing,Kibra,Makina,2.15,garbage point,holding ground,,public land,,needs fencing
Kibra,Makina,-1.3063287,36.7890081,0.735,garbage point,holding ground,,public land,,yes,should be closed down,Kibra,Makina,0.735,garbage point,holding ground,,public land,,should be closed down
Lang'ata,Nairobi West,-1.3062158,36.821721,4.611,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nairobi West,4.611,garbage point,illegal dumping,,public land,,
Lang'ata,Nairobi West,-1.3174159,36.8195599,4.258,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nairobi West,4.258,garbage point,illegal dumping,,public land,,
Lang'ata,Nairobi West,-1.3167599,36.8134123,4.39,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nairobi West,4.39,garbage point,illegal dumping,,public land,,
Lang'ata,Mugumo-ini,-1.3276393,36.7790747,4.795,garbage point,illegal dumping,,public land,,yes,road reserve,Lang'ata,Mugumo-ini,4.795,garbage point,illegal dumping,,public land,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3286648,36.7795393,4.048,garbage point,illegal dumping,,public land,,yes,road reserve,Lang'ata,Mugumo-ini,4.048,garbage point,illegal dumping,,public land,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3296155,36.7798372,4.18,garbage point,illegal dumping,,public land,,yes,illegal dumping inside langata cemetery,Lang'ata,Mugumo-ini,4.18,garbage point,illegal dumping,,public land,illegal dumping inside langata cemetery,illegal dumping inside langata cemetery
Lang'ata,Mugumo-ini,-1.3225333,36.7774999,4.724,garbage point,illegal dumping,,public land,,yes,road reserve,Lang'ata,Mugumo-ini,4.724,garbage point,illegal dumping,,public land,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3215462,36.7779034,4.322,garbage point,illegal dumping,,public land,,yes,road reserve,Lang'ata,Mugumo-ini,4.322,garbage point,illegal dumping,,public land,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3188571,36.7769277,4.68,garbage point,illegal dumping,,community,,yes,migingo estate,Lang'ata,Mugumo-ini,4.68,garbage point,illegal dumping,,community,migingo estate,migingo estate
Lang'ata,Mugumo-ini,-1.3174488,36.7782453,4.581,garbage point,other,Illegal dumping and Bin,community,,yes,cause of river pollution,Lang'ata,Mugumo-ini,4.581,garbage point,other,Illegal dumping and Bin,community,,cause of river pollution
Lang'ata,Nyayo Highrise,-1.31519,36.8031198,4.751,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nyayo Highrise,4.751,garbage point,illegal dumping,,public land,,
Lang'ata,Mugumo-ini,-1.3184772,36.7818414,4.805,garbage point,holding ground,,community,,yes,raila village estate,Lang'ata,Mugumo-ini,4.805,garbage point,holding ground,,community,raila village estate,raila village estate
Lang'ata,Mugumo-ini,-1.3181819,36.7835835,3.88,garbage point,illegal dumping,,public land,,yes,road reserve,Lang'ata,Mugumo-ini,3.88,garbage point,illegal dumping,,public land,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3231246,36.7878761,4.426,garbage point,collection point,,community,,yes,cbo holding point,Lang'ata,Mugumo-ini,4.426,garbage point,collection point,,community,cbo holding point,cbo holding point
Lang'ata,Mugumo-ini,-1.3244792,36.785162,4.749,garbage point,holding ground,,public land,,yes,market,Lang'ata,Mugumo-ini,4.749,garbage point,holding ground,,public land,,market
Lang'ata,Nyayo Highrise,-1.315349,36.7988314,4.942,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nyayo Highrise,4.942,garbage point,illegal dumping,,public land,,
Lang'ata,Nyayo Highrise,-1.3178969,36.799213,4.045,garbage point,illegal dumping,,public land,,yes,,Lang'ata,Nyayo Highrise,4.045,garbage point,illegal dumping,,public land,,
Roysambu,Githurai,-1.2032781,36.9052524,4.8,garbage point,holding ground,,public land,,yes,used by green army and is easily accessible by truck,Roysambu,Githurai,4.8,garbage point,holding ground,,public land,,used by green army and is easily accessible by truck
Roysambu,Kahawa,-1.1876168,36.90649,4.2,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,4.2,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1880552,36.9064522,4.22,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,4.22,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1889783,36.9061861,2.35,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,2.35,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1896052,36.9061369,2.46,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,2.46,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1900502,36.906054,4.06,garbage point,illegal dumping,,public land,,yes,nonr,Roysambu,Kahawa,4.06,garbage point,illegal dumping,,public land,,nonr
Roysambu,Kahawa,-1.1897361,36.9062698,3.42,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,3.42,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1913626,36.9059658,3.4,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,3.4,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1945777,36.9036644,4.9,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,4.9,garbage point,illegal dumping,,public land,,none
Roysambu,Kahawa,-1.1945074,36.9032894,4.683,garbage point,illegal dumping,,public land,,yes,none,Roysambu,Kahawa,4.683,garbage point,illegal dumping,,public land,,none
Kibra,Laini Saba,-1.3117096,36.7932269,4.669,garbage point,illegal dumping,,public land,,yes,,Kibra,Laini Saba,4.669,garbage point,illegal dumping,,public land,,
Roysambu,Roysambu,-1.2229337,36.8834889,4.363,garbage point,holding ground,,public land,,yes,none,Roysambu,Roysambu,4.363,garbage point,holding ground,,public land,,none
Roysambu,Roysambu,-1.2229339,36.883461,4.865,garbage point,collection point,,public land,,yes,no.,Roysambu,Roysambu,4.865,garbage point,collection point,,public land,,no.
Roysambu,Roysambu,-1.22274,36.8827797,4.683,garbage point,collection point,,private,,yes,well maintained,Roysambu,Roysambu,4.683,garbage point,collection point,,private,,well maintained
Roysambu,Githurai,-1.2227315,36.8827606,4.9,garbage point,illegal dumping,,community,,yes,bad,Roysambu,Githurai,4.9,garbage point,illegal dumping,,community,,bad
Roysambu,Roysambu,-1.222781,36.8827659,4.48,garbage point,holding ground,,private,,yes,none,Roysambu,Roysambu,4.48,garbage point,holding ground,,private,,none
Roysambu,Roysambu,-1.2227348,36.8826985,4.383,garbage point,collection point,,private,,yes,no,Roysambu,Roysambu,4.383,garbage point,collection point,,private,,no
Roysambu,Roysambu,-1.2228262,36.8827524,4.8,garbage point,collection point,,private,,no,need of a truck to collect garbage,Roysambu,Roysambu,4.8,garbage point,collection point,,private,,need of a truck to collect garbage
Roysambu,Roysambu,-1.2216436,36.8821392,4.416,garbage point,illegal dumping,,public land,,no,none,Roysambu,Roysambu,4.416,garbage point,illegal dumping,,public land,,none
Roysambu,Roysambu,-1.221732,36.8820498,4.618,garbage point,illegal dumping,,public land,,yes,need to be cleared,Roysambu,Roysambu,4.618,garbage point,illegal dumping,,public land,,need to be cleared
Roysambu,Garden Estate,-1.2216098,36.882103,0.847,garbage point,collection point,,community,,yes,,Roysambu,Garden Estate,0.847,garbage point,collection point,,community,,
Roysambu,Roysambu,-1.2228703,36.8835249,4.78,garbage point,collection point,,public land,,yes,no,Roysambu,Roysambu,4.78,garbage point,collection point,,public land,,no
Roysambu,Roysambu,-1.2214698,36.8819343,4.44,garbage point,bin,,private,,yes,well placed,Roysambu,Roysambu,4.44,garbage point,bin,,private,,well placed
Roysambu,Roysambu,-1.2216739,36.8822098,4.278,garbage point,holding ground,,private,,yes,no,Roysambu,Roysambu,4.278,garbage point,holding ground,,private,,no
Roysambu,Roysambu,-1.2216183,36.8817108,4.916,garbage point,illegal dumping,,public land,,yes,excavated soil accumulation,Roysambu,Roysambu,4.916,garbage point,illegal dumping,,public land,,excavated soil accumulation
Kibra,Lindi,-1.2214579,36.8821341,2.3,garbage point,bin,,public land,,yes,old,Kibra,Lindi,2.3,garbage point,bin,,public land,,old
Roysambu,Roysambu,-1.2214549,36.8820055,4.585,garbage point,illegal dumping,,community,,yes,,Roysambu,Roysambu,4.585,garbage point,illegal dumping,,community,,
Roysambu,Roysambu,-1.2227331,36.8827113,3.81,garbage point,collection point,,community,,yes,none,Roysambu,Roysambu,3.81,garbage point,collection point,,community,,none
Roysambu,Roysambu,-1.2216712,36.8822012,4.75,garbage point,collection point,,private,,no,needs maintenance,Roysambu,Roysambu,4.75,garbage point,collection point,,private,,needs maintenance
Roysambu,Roysambu,-1.2216605,36.8821245,4.42,garbage point,illegal dumping,,private,,no,the site to be rehabilitated,Roysambu,Roysambu,4.42,garbage point,illegal dumping,,private,,the site to be rehabilitated
Lang'ata,Nyayo Highrise,-1.2227533,36.8823201,1.036,garbage point,bin,,private,,yes,needs collection,Lang'ata,Nyayo Highrise,1.036,garbage point,bin,,private,,needs collection
Lang'ata,Nyayo Highrise,-1.2225289,36.8821812,0.738,garbage point,bin,,private,,yes,needs cleaning,Lang'ata,Nyayo Highrise,0.738,garbage point,bin,,private,,needs cleaning
Lang'ata,Nyayo Highrise,-1.2225156,36.8821668,1.001,garbage point,other,Drainage,private,,yes,needs unblocking,Lang'ata,Nyayo Highrise,1.001,garbage point,other,Drainage,private,,needs unblocking
Lang'ata,Nyayo Highrise,-1.222935,36.8841392,4.94,garbage point,collection point,,private,,yes,needs collection,Lang'ata,Nyayo Highrise,4.94,garbage point,collection point,,private,,needs collection
Lang'ata,Nyayo Highrise,-1.222952,36.8834222,1.478,garbage point,other,Manholes,private,,yes,needs maintainance,Lang'ata,Nyayo Highrise,1.478,garbage point,other,Manholes,private,,needs maintainance
Roysambu,Roysambu,-1.223039,36.8831812,4.85,garbage point,bin,,private,,yes,privately owned,Roysambu,Roysambu,4.85,garbage point,bin,,private,,privately owned
Roysambu,Roysambu,-1.2248364,36.8826611,4.764,garbage point,collection point,,private,,yes,alright,Roysambu,Roysambu,4.764,garbage point,collection point,,private,,alright
Roysambu,Roysambu,-1.2226635,36.8840204,4.366,garbage point,bin,,private,,yes,not in use,Roysambu,Roysambu,4.366,garbage point,bin,,private,,not in use
Roysambu,Roysambu,-1.2232344,36.8822696,4.483,garbage point,illegal dumping,,private,,yes,,Roysambu,Roysambu,4.483,garbage point,illegal dumping,,private,,
Roysambu,Roysambu,-1.2237436,36.882805,4.974,garbage point,bin,,private,,yes,strategically placed,Roysambu,Roysambu,4.974,garbage point,bin,,private,,strategically placed
Roysambu,Roysambu,-1.2229224,36.883226,3.95,garbage point,holding ground,,public land,,yes,needs collection,Roysambu,Roysambu,3.95,garbage point,holding ground,,public land,,needs collection
Kibra,Woodley/Kenyatta Golf Course,-1.2249642,36.8832399,4.666,garbage point,illegal dumping,,public land,,yes,,Kibra,Woodley/Kenyatta Golf Course,4.666,garbage point,illegal dumping,,public land,,
Roysambu,Roysambu,-1.2229891,36.8832382,4.908,garbage point,holding ground,,private,,yes,,Roysambu,Roysambu,4.908,garbage point,holding ground,,private,,
Roysambu,Roysambu,-1.2231786,36.8830954,4.803,garbage point,bin,,private,,yes,strategically located,Roysambu,Roysambu,4.803,garbage point,bin,,private,,strategically located
Roysambu,Roysambu,-1.2230937,36.8830356,4.8,garbage point,bin,,private,,yes,well maintained,Roysambu,Roysambu,4.8,garbage point,bin,,private,,well maintained
Ruaraka,Mathare North,-1.2248162,36.8825423,4.462,garbage point,bin,,private,,yes,the bin is well placed,Ruaraka,Mathare North,4.462,garbage point,bin,,private,,the bin is well placed
Roysambu,Roysambu,-1.2232996,36.8822822,2.875,garbage point,bin,,private,,yes,well maintained,Roysambu,Roysambu,2.875,garbage point,bin,,private,,well maintained
