sub_county,ward,lat,lon,_capture_the_location_precision,feature,garbage/garbage_type,garbage/other_garbage_type,garbage/garbage_ownership,garbage/other_garbage_ownership,comments,description
Embakasi North,Dandora Area III,-1.2459695,36.904452,4.965,garbage point,illegal dumping,,other,along john osogo road,Garbage to be cleared and monitoring and enforcement to be continued,
Embakasi North,Dandora Area III,-1.2461571,36.9042166,3.2,garbage point,illegal dumping,,other,along john osogo road,Garbage to be cleared and monitoring and enforcement to continue,
Embakasi North,Dandora Area III,-1.2462212,36.9040728,2.4,garbage point,other,Illegal dumping and burning of waste,other,along john osogo road,Garbage to be cleared and awareness creation and enforcement,
Embakasi North,Kariobangi North,-1.2525338,36.8812655,3.878,garbage point,holding ground,,other,roadside,"Not a good site, unhealthy and would require prompt collection on a regular basis",
Embakasi North,Kariobangi North,-1.2556586,36.8827745,4.805,garbage point,holding ground,,other,roadside,Requires prompt collection and getting an alternative holding/collection point,
Embakasi North,Kariobangi North,-1.2621216,36.88243,4.637,garbage point,illegal dumping,,other,besides the river bank,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas",
Westlands,Parklands/Highridge,-1.2648432,36.8051832,4.774,garbage point,collection point,,private,,Owned by Gentleman's Club,
Dagoretti North,Gatina,-1.2798925,36.7515692,4.84,garbage point,collection point,,public land,,Dada Mary collection point,
Dagoretti South,Riruta,-1.2237206,36.8825131,4.049,garbage point,holding ground,,community,,No waste segregation at the point,No waste segregation at the point
Dagoretti South,Ng'ando,-1.2939686,36.7540506,4.662,garbage point,illegal dumping,,public land,,Dumping is usually rampant,Dumping is usually rampant
Dagoretti South,Ng'ando,-1.2954408,36.7555779,4.83,garbage point,illegal dumping,,public land,,Rampant dumping along the road,Rampant dumping along the road
Dagoretti South,Ng'ando,-1.2965409,36.7561616,4.621,garbage point,illegal dumping,,public land,,Dumping due to drainage clearing,Dumping due to drainage clearing
Dagoretti South,Ng'ando,-1.2982297,36.7586461,4.004,garbage point,illegal dumping,,public land,,Rampant dumpings,Rampant dumpings
Dagoretti South,Ng'ando,-1.2993294,36.7574613,4.655,garbage point,holding ground,,public land,,Huge waste loads with frequent dumpings,Huge waste loads with frequent dumpings
Dagoretti South,Ng'ando,-1.3001478,36.7576411,3.903,garbage point,illegal dumping,,public land,,Dumping on major roads is rampant,Dumping on major roads is rampant
Embakasi East,Upper Savanna,-1.3031106,36.8881969,4.645,garbage point,illegal dumping,,other,,,outering road donholm near equity bank	
Embakasi West,Mowlem,-1.2671017,36.8970867,4.05,garbage point,holding ground,,other,,,roadside
Embakasi West,Mowlem,-1.2658033,36.8959999,4.05,garbage point,holding ground,,other,,,roadside
Embakasi West,Mowlem,-1.2653798,36.8960844,4.44,garbage point,holding ground,,other,,,road reserves
